"","Year","Month","Kitchen","Laundry Room","Hot water/AC","Other","Total","ds","id"
"1",2007,1,56.433,79.251,329.578,684.6175,1149.8795,2007-01-01,1
"2",2007,2,47.584,64.623,270.274,559.0511,941.5321,2007-02-01,2
"3",2007,3,60.758,104.675,288.235,522.8494,976.5174,2007-03-01,3
"4",2007,4,41.591,38.446,191.629,317.886533333333,589.552533333333,2007-04-01,4
"5",2007,5,76.235,72.151,228.526,356.323833333333,733.235833333333,2007-05-01,5
"6",2007,6,59.672,69.981,189.615,274.420233333333,593.688233333333,2007-06-01,6
"7",2007,7,43.052,55.734,154.973,243.116833333333,496.875833333333,2007-07-01,7
"8",2007,8,35.834,49.642,225.277,256.355566666667,567.108566666667,2007-08-01,8
"9",2007,9,53.258,75.273,224.435,344.339266666667,697.305266666667,2007-09-01,9
"10",2007,10,43.218,87.966,258.185,434.3928,823.7618,2007-10-01,10
"11",2007,11,50.823,73.687,299.69,507.7192,931.9192,2007-11-01,11
"12",2007,12,74.09,82.927,361.356,690.4371,1208.8101,2007-12-01,12
"13",2008,1,61.761,62.876,312.164,648.284433333333,1085.08543333333,2008-01-01,13
"14",2008,2,40.192,56.685,256.996,470.448533333333,824.321533333333,2008-02-01,14
"15",2008,3,62.568,79.219,277.537,503.926333333333,923.250333333333,2008-03-01,15
"16",2008,4,47.622,70.857,297.73,390.4156,806.6246,2008-04-01,16
"17",2008,5,53.084,58.888,290.044,357.227466666667,759.243466666667,2008-05-01,17
"18",2008,6,68.728,63.5,289.822,295.8399,717.8899,2008-06-01,18
"19",2008,7,47.313,43.553,227.057,269.758866666667,587.681866666667,2008-07-01,19
"20",2008,8,3.873,23.068,78.437,101.980166666667,207.358166666667,2008-08-01,20
"21",2008,9,51.856,44.666,286.485,328.9712,711.9782,2008-09-01,21
"22",2008,10,44.613,63.251,276.021,462.986666666667,846.871666666667,2008-10-01,22
"23",2008,11,58.067,55.858,279.715,603.660166666667,997.300166666667,2008-11-01,23
"24",2008,12,45.107,39.456,308.246,555.511866666667,948.320866666667,2008-12-01,24
"25",2009,1,74.65,72.984,328.521,570.483433333333,1046.63843333333,2009-01-01,25
"26",2009,2,47.099,50.681,296.735,444.336066666667,838.851066666667,2009-02-01,26
"27",2009,3,64.645,48.348,329.213,470.697,912.903,2009-03-01,27
"28",2009,4,54.506,52.65,305.811,404.128366666667,817.095366666667,2009-04-01,28
"29",2009,5,43.047,50.094,312.27,349.871833333333,755.282833333333,2009-05-01,29
"30",2009,6,31.885,29.789,260.554,239.249733333333,561.477733333333,2009-06-01,30
"31",2009,7,18.226,42.418,187.949,211.490033333333,460.083033333333,2009-07-01,31
"32",2009,8,33.48,38.298,192.081,219.5803,483.4393,2009-08-01,32
"33",2009,9,51.653,45.985,295.843,315.2412,708.7222,2009-09-01,33
"34",2009,10,55.22,53.967,328.312,417.2803,854.7793,2009-10-01,34
"35",2009,11,60.445,53.473,335.532,468.271766666667,917.721766666667,2009-11-01,35
"36",2009,12,57.801,53.49,382.896,519.623866666667,1013.81086666667,2009-12-01,36
